age,gender,province,education,language,religion,vote
60-74,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
30-44,Male,Ontario,Bachelor's degree,Neither English nor French,No,1
45-59,Male,Quebec,High school diploma or its equivalent,French only,Yes,2
60-74,Female,British Columbia,Bachelor's degree,English only,Yes,5
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,3
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Female,Manitoba,Bachelor's degree,Neither English nor French,No,1
60-74,Female,Ontario,Bachelor's degree,Neither English nor French,Yes,3
60-74,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
45-59,Male,Alberta,Degree above the bachelor's level,English only,Yes,1
60-74,Male,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
75+,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
45-59,Male,Quebec,Bachelor's degree,Neither English nor French,Yes,2
45-59,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
60-74,Male,Saskatchewan,Bachelor's degree,English only,Yes,2
45-59,Female,Ontario,Bachelor's degree,Neither English nor French,No,9
60-74,Male,Nova Scotia,Bachelor's degree,English only,No,9
45-59,Female,Ontario,University below the bachelor's level,Both English and French,Yes,NA
30-44,Female,Ontario,Degree above the bachelor's level,English only,Yes,2
18-29,Male,Quebec,Less than high school,French only,Yes,NA
45-59,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,2
60-74,Male,Alberta,Bachelor's degree,English only,Yes,2
45-59,Male,Quebec,Degree above the bachelor's level,Both English and French,Yes,2
18-29,Male,Ontario,Bachelor's degree,English only,Yes,1
45-59,Male,Ontario,Bachelor's degree,Both English and French,Yes,NA
60-74,Male,Ontario,University below the bachelor's level,English only,Yes,1
60-74,Male,Alberta,Bachelor's degree,English only,Yes,2
18-29,Female,Quebec,Bachelor's degree,French only,No,2
60-74,Male,Ontario,University below the bachelor's level,English only,Yes,2
60-74,Female,Ontario,Less than high school,English only,Yes,2
60-74,Male,Ontario,Bachelor's degree,English only,Yes,9
75+,Female,Quebec,High school diploma or its equivalent,French only,Yes,9
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Female,Ontario,High school diploma or its equivalent,English only,No,2
45-59,Male,Nova Scotia,Degree above the bachelor's level,English only,No,2
45-59,Female,Ontario,Bachelor's degree,English only,Yes,1
45-59,Female,Quebec,High school diploma or its equivalent,French only,Yes,5
45-59,Female,Ontario,Less than high school,English only,No,5
30-44,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Male,Quebec,Degree above the bachelor's level,French only,Yes,4
30-44,Female,Alberta,Bachelor's degree,English only,Yes,2
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
60-74,Male,British Columbia,Degree above the bachelor's level,Both English and French,No,1
45-59,Female,Ontario,High school diploma or its equivalent,French only,Yes,1
60-74,Male,Nova Scotia,University below the bachelor's level,English only,Yes,1
60-74,Female,Quebec,High school diploma or its equivalent,French only,Yes,1
18-29,Female,Quebec,Bachelor's degree,French only,No,1
