age,gender,province,education,language,religion,vote
30-44,Female,Ontario,High school diploma or its equivalent,English only,Yes,3
60-74,Female,Alberta,High school diploma or its equivalent,English only,No,2
60-74,Male,Saskatchewan,Bachelor's degree,English only,No,9
60-74,Female,Ontario,Degree above the bachelor's level,English only,Yes,1
45-59,Female,Alberta,University below the bachelor's level,English only,No,2
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,9
60-74,Male,Ontario,Bachelor's degree,Neither English nor French,Yes,2
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
75+,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
45-59,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,3
18-29,Female,British Columbia,High school diploma or its equivalent,English only,Yes,NA
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,1
60-74,Male,Quebec,University below the bachelor's level,French only,Yes,9
60-74,Male,Ontario,Less than high school,English only,No,9
18-29,Female,Quebec,Bachelor's degree,Both English and French,No,1
75+,Male,Quebec,Less than high school,French only,Yes,9
45-59,Female,Ontario,High school diploma or its equivalent,English only,Yes,9
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,9
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
60-74,Male,Ontario,University below the bachelor's level,English only,Yes,2
30-44,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
18-29,Female,Alberta,High school diploma or its equivalent,English only,No,2
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,3
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,3
45-59,Female,British Columbia,High school diploma or its equivalent,English only,No,5
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,9
60-74,Female,Ontario,Bachelor's degree,Both English and French,Yes,1
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,NA
30-44,Female,Ontario,Bachelor's degree,English only,Yes,3
18-29,Female,Ontario,Degree above the bachelor's level,Neither English nor French,No,9
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,2
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",French only,Yes,2
60-74,Male,British Columbia,Degree above the bachelor's level,English only,Yes,1
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Male,Manitoba,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,2
75+,Male,Ontario,High school diploma or its equivalent,English only,Yes,9
60-74,Female,Quebec,High school diploma or its equivalent,French only,Yes,9
45-59,Female,Ontario,Bachelor's degree,English only,Yes,1
60-74,Female,Saskatchewan,Bachelor's degree,English only,Yes,9
45-59,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,No,9
60-74,Male,British Columbia,High school diploma or its equivalent,English only,Yes,1
18-29,Female,Alberta,Degree above the bachelor's level,English only,No,2
45-59,Male,Ontario,Bachelor's degree,English only,Yes,2
30-44,Female,Ontario,Bachelor's degree,Neither English nor French,Yes,2
60-74,Male,Ontario,Degree above the bachelor's level,English only,No,5
60-74,Female,British Columbia,High school diploma or its equivalent,Neither English nor French,Yes,1
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,1
60-74,Female,Quebec,Bachelor's degree,French only,Yes,1
60-74,Male,Ontario,Bachelor's degree,English only,Yes,2
75+,Male,British Columbia,Degree above the bachelor's level,English only,Yes,2
60-74,Female,British Columbia,University below the bachelor's level,English only,Yes,9
60-74,Male,Quebec,Bachelor's degree,French only,Yes,1
30-44,Male,Ontario,Bachelor's degree,English only,No,9
75+,Female,Ontario,High school diploma or its equivalent,English only,Yes,9
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,3
30-44,Male,Quebec,Bachelor's degree,Both English and French,No,4
60-74,Male,Ontario,University below the bachelor's level,English only,Yes,2
45-59,Male,Manitoba,High school diploma or its equivalent,French only,Yes,5
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,NA
45-59,Male,Ontario,Bachelor's degree,Neither English nor French,Yes,2
60-74,Male,Quebec,High school diploma or its equivalent,French only,Yes,2
45-59,Male,Alberta,University below the bachelor's level,English only,Yes,9
60-74,Male,Alberta,Degree above the bachelor's level,English only,Yes,3
60-74,Female,Quebec,High school diploma or its equivalent,French only,Yes,2
18-29,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,5
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
45-59,Female,Alberta,Less than high school,English only,No,2
60-74,Male,Ontario,Bachelor's degree,English only,Yes,1
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Male,Quebec,Bachelor's degree,English only,Yes,2
75+,Male,British Columbia,University below the bachelor's level,English only,Yes,2
60-74,Female,Quebec,Bachelor's degree,Both English and French,Yes,1
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Female,Ontario,High school diploma or its equivalent,English only,Yes,9
60-74,Male,Ontario,Bachelor's degree,French only,No,1
75+,Female,Alberta,Bachelor's degree,English only,Yes,2
60-74,Male,Quebec,University below the bachelor's level,French only,No,7
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,9
45-59,Male,British Columbia,Less than high school,English only,Yes,NA
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
30-44,Female,Manitoba,Degree above the bachelor's level,Neither English nor French,Yes,3
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Female,Ontario,Degree above the bachelor's level,English only,Yes,1
18-29,Female,Ontario,Bachelor's degree,English only,No,1
45-59,Male,Quebec,Degree above the bachelor's level,French only,Yes,5
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Female,Ontario,Less than high school,English only,No,9
18-29,Male,Quebec,University below the bachelor's level,French only,Yes,1
18-29,Female,Alberta,High school diploma or its equivalent,English only,Yes,9
75+,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
18-29,Female,Ontario,Bachelor's degree,English only,No,1
75+,Male,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,NA
60-74,Male,Quebec,University below the bachelor's level,French only,Yes,1
18-29,Female,Ontario,Bachelor's degree,Both English and French,Yes,1
30-44,Female,Saskatchewan,Bachelor's degree,English only,No,2
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,9
60-74,Female,Quebec,University below the bachelor's level,French only,Yes,4
18-29,Female,Quebec,University below the bachelor's level,Both English and French,No,9
60-74,Male,Quebec,Bachelor's degree,French only,No,5
18-29,Male,Quebec,High school diploma or its equivalent,Both English and French,Yes,3
18-29,Male,British Columbia,Bachelor's degree,English only,No,2
60-74,Female,Saskatchewan,Degree above the bachelor's level,English only,No,3
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Male,Ontario,High school diploma or its equivalent,English only,No,2
60-74,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,4
18-29,Female,Quebec,High school diploma or its equivalent,Both English and French,Yes,9
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
18-29,Female,Alberta,High school diploma or its equivalent,English only,Yes,3
18-29,Female,Saskatchewan,Less than high school,Both English and French,No,2
60-74,Male,Ontario,Degree above the bachelor's level,English only,Yes,1
30-44,Female,Ontario,Bachelor's degree,English only,Yes,2
45-59,Female,British Columbia,Bachelor's degree,English only,Yes,1
75+,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,1
45-59,Female,Ontario,Degree above the bachelor's level,English only,Yes,2
60-74,Female,British Columbia,University below the bachelor's level,English only,Yes,6
60-74,Male,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
18-29,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,9
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,2
45-59,Male,Ontario,Bachelor's degree,English only,Yes,5
45-59,Female,Quebec,Bachelor's degree,French only,Yes,1
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
60-74,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
30-44,Female,Quebec,Bachelor's degree,French only,Yes,4
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,2
30-44,Female,Manitoba,Degree above the bachelor's level,English only,Yes,1
30-44,Female,Quebec,High school diploma or its equivalent,English only,Yes,NA
45-59,Male,Quebec,High school diploma or its equivalent,French only,Yes,NA
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Female,Manitoba,Bachelor's degree,English only,Yes,5
60-74,Male,Ontario,Bachelor's degree,English only,Yes,1
60-74,Male,Quebec,Degree above the bachelor's level,French only,No,9
45-59,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
45-59,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,2
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,3
18-29,Female,Alberta,Degree above the bachelor's level,English only,Yes,9
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
45-59,Male,Quebec,Bachelor's degree,French only,Yes,1
30-44,Male,British Columbia,Degree above the bachelor's level,English only,Yes,2
60-74,Female,British Columbia,Less than high school,English only,Yes,NA
45-59,Female,Ontario,Bachelor's degree,English only,No,5
60-74,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
30-44,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,NA
75+,Male,Ontario,High school diploma or its equivalent,English only,Yes,2
45-59,Female,British Columbia,University below the bachelor's level,English only,Yes,2
18-29,Female,Ontario,Bachelor's degree,Both English and French,Yes,9
60-74,Male,Ontario,Bachelor's degree,English only,Yes,1
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
18-29,Female,Manitoba,High school diploma or its equivalent,English only,No,3
45-59,Female,Ontario,Bachelor's degree,English only,No,1
60-74,Female,British Columbia,Less than high school,English only,Yes,3
30-44,Female,British Columbia,Degree above the bachelor's level,English only,Yes,2
60-74,Female,British Columbia,High school diploma or its equivalent,English only,Yes,2
60-74,Male,Quebec,University below the bachelor's level,French only,Yes,9
75+,Male,Ontario,University below the bachelor's level,English only,Yes,9
30-44,Female,Ontario,Bachelor's degree,English only,Yes,9
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Female,Ontario,Bachelor's degree,English only,Yes,1
45-59,Female,Ontario,High school diploma or its equivalent,Both English and French,No,9
75+,Male,Alberta,University below the bachelor's level,English only,Yes,1
45-59,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,3
18-29,Female,Quebec,High school diploma or its equivalent,French only,No,NA
45-59,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,5
30-44,Female,Ontario,Degree above the bachelor's level,English only,No,3
75+,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,1
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,3
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,6
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,1
60-74,Male,British Columbia,Bachelor's degree,English only,No,3
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,9
60-74,Male,Manitoba,Less than high school,English only,Yes,9
30-44,Female,Alberta,University below the bachelor's level,English only,Yes,2
45-59,Male,Quebec,Less than high school,French only,No,2
45-59,Female,Ontario,Bachelor's degree,Both English and French,No,5
60-74,Male,British Columbia,University below the bachelor's level,English only,No,2
45-59,Male,Ontario,Degree above the bachelor's level,English only,No,3
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,5
30-44,Female,Quebec,Bachelor's degree,French only,Yes,1
30-44,Female,Alberta,Bachelor's degree,English only,Yes,1
45-59,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,2
60-74,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,1
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
30-44,Female,Ontario,Bachelor's degree,Neither English nor French,Yes,1
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Male,Ontario,Degree above the bachelor's level,English only,No,2
45-59,Female,Ontario,Degree above the bachelor's level,Both English and French,Yes,1
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,9
60-74,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
30-44,Male,Alberta,High school diploma or its equivalent,English only,No,1
18-29,Female,Alberta,Bachelor's degree,English only,Yes,2
60-74,Male,Alberta,University below the bachelor's level,English only,Yes,1
18-29,Female,Ontario,Degree above the bachelor's level,English only,No,3
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,NA
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,NA
60-74,Male,British Columbia,Bachelor's degree,English only,Yes,6
45-59,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,9
60-74,Female,Alberta,Less than high school,English only,No,2
30-44,Female,Quebec,University below the bachelor's level,Both English and French,Yes,1
45-59,Female,British Columbia,Less than high school,English only,No,9
45-59,Male,Ontario,University below the bachelor's level,English only,Yes,1
60-74,Female,Quebec,High school diploma or its equivalent,French only,Yes,3
75+,Male,Quebec,Bachelor's degree,French only,No,1
18-29,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,1
60-74,Male,Manitoba,Degree above the bachelor's level,French only,Yes,1
60-74,Female,Alberta,High school diploma or its equivalent,English only,Yes,2
60-74,Female,Ontario,Bachelor's degree,English only,Yes,1
60-74,Female,Manitoba,Bachelor's degree,English only,Yes,9
30-44,Male,Ontario,Bachelor's degree,English only,No,1
75+,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,2
60-74,Male,Ontario,Bachelor's degree,English only,No,1
45-59,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,4
30-44,Female,Ontario,Bachelor's degree,English only,Yes,NA
45-59,Male,Ontario,Bachelor's degree,English only,Yes,1
30-44,Male,Quebec,Degree above the bachelor's level,French only,Yes,9
60-74,Male,Ontario,High school diploma or its equivalent,English only,Yes,9
18-29,Male,Quebec,Less than high school,French only,No,NA
75+,Male,British Columbia,Bachelor's degree,English only,No,2
30-44,Male,British Columbia,Bachelor's degree,Neither English nor French,No,2
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,5
30-44,Female,Saskatchewan,Bachelor's degree,English only,Yes,1
60-74,Male,Ontario,University below the bachelor's level,English only,Yes,1
75+,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
30-44,Female,Quebec,High school diploma or its equivalent,French only,Yes,2
60-74,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Female,Ontario,Degree above the bachelor's level,English only,Yes,NA
60-74,Female,Nova Scotia,Bachelor's degree,English only,Yes,9
45-59,Male,Ontario,High school diploma or its equivalent,English only,No,3
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
60-74,Female,British Columbia,Degree above the bachelor's level,Neither English nor French,Yes,5
60-74,Male,Ontario,High school diploma or its equivalent,English only,No,2
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,4
60-74,Male,British Columbia,University below the bachelor's level,English only,Yes,1
75+,Male,Ontario,Bachelor's degree,English only,No,2
45-59,Male,Ontario,Bachelor's degree,Neither English nor French,Yes,2
60-74,Male,British Columbia,Degree above the bachelor's level,English only,No,5
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
45-59,Male,Manitoba,Bachelor's degree,English only,Yes,NA
18-29,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,No,5
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Male,Ontario,Bachelor's degree,Both English and French,Yes,2
30-44,Female,Quebec,Degree above the bachelor's level,French only,Yes,5
60-74,Male,British Columbia,University below the bachelor's level,English only,Yes,2
60-74,Male,British Columbia,High school diploma or its equivalent,English only,Yes,2
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Female,Saskatchewan,Bachelor's degree,English only,Yes,2
30-44,Male,British Columbia,Bachelor's degree,English only,No,1
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
45-59,Male,Ontario,University below the bachelor's level,English only,No,9
18-29,Male,New Brunswick,High school diploma or its equivalent,English only,Yes,2
75+,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,1
60-74,Female,Alberta,Bachelor's degree,English only,Yes,2
18-29,Female,Ontario,Bachelor's degree,English only,Yes,3
75+,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,2
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
45-59,Female,Manitoba,Bachelor's degree,English only,Yes,NA
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,NA
45-59,Male,Quebec,Degree above the bachelor's level,French only,No,5
45-59,Male,Quebec,Bachelor's degree,Both English and French,Yes,2
45-59,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Male,British Columbia,Degree above the bachelor's level,English only,No,1
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Male,Quebec,Bachelor's degree,Both English and French,Yes,1
18-29,Female,Nova Scotia,University below the bachelor's level,English only,No,NA
30-44,Female,British Columbia,Bachelor's degree,English only,Yes,2
30-44,Male,Alberta,Degree above the bachelor's level,English only,No,2
60-74,Male,Quebec,University below the bachelor's level,French only,No,4
30-44,Female,Quebec,Degree above the bachelor's level,French only,Yes,2
60-74,Female,Ontario,Degree above the bachelor's level,Both English and French,Yes,1
45-59,Female,Ontario,High school diploma or its equivalent,English only,Yes,2
45-59,Male,Ontario,Degree above the bachelor's level,English only,Yes,1
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,NA
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
30-44,Female,Quebec,Degree above the bachelor's level,Neither English nor French,No,1
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
60-74,Male,New Brunswick,University below the bachelor's level,English only,Yes,2
60-74,Male,Manitoba,Degree above the bachelor's level,French only,Yes,1
60-74,Female,Manitoba,University below the bachelor's level,English only,Yes,1
60-74,Female,Ontario,Bachelor's degree,English only,Yes,2
45-59,Male,Ontario,Bachelor's degree,Both English and French,Yes,2
75+,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,4
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
75+,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
18-29,Female,Ontario,Bachelor's degree,English only,No,3
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,2
45-59,Female,Ontario,High school diploma or its equivalent,English only,No,NA
60-74,Male,Ontario,University below the bachelor's level,English only,No,2
75+,Male,Saskatchewan,High school diploma or its equivalent,English only,Yes,2
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,7
45-59,Female,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,NA
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
60-74,Male,Alberta,Less than high school,English only,No,2
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Male,Ontario,Degree above the bachelor's level,English only,Yes,5
60-74,Female,Quebec,Bachelor's degree,French only,No,4
18-29,Female,British Columbia,Bachelor's degree,English only,Yes,9
18-29,Male,Prince Edward Island,Bachelor's degree,English only,No,5
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
45-59,Female,Alberta,Bachelor's degree,English only,Yes,9
60-74,Male,Ontario,Degree above the bachelor's level,English only,Yes,2
45-59,Male,British Columbia,Bachelor's degree,Neither English nor French,No,9
45-59,Female,Ontario,High school diploma or its equivalent,English only,Yes,9
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,3
45-59,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
60-74,Male,Alberta,Bachelor's degree,English only,Yes,2
45-59,Male,Ontario,Bachelor's degree,Neither English nor French,No,2
60-74,Male,Ontario,Bachelor's degree,Neither English nor French,No,9
60-74,Male,Quebec,Degree above the bachelor's level,French only,Yes,2
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,9
75+,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
30-44,Male,Ontario,High school diploma or its equivalent,Both English and French,No,9
60-74,Male,Alberta,University below the bachelor's level,English only,No,2
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,3
30-44,Female,Quebec,Bachelor's degree,French only,Yes,1
60-74,Male,Ontario,Bachelor's degree,English only,Yes,2
45-59,Male,Ontario,High school diploma or its equivalent,English only,Yes,1
60-74,Male,Ontario,Bachelor's degree,English only,Yes,1
60-74,Male,British Columbia,University below the bachelor's level,English only,Yes,1
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,3
60-74,Male,Ontario,University below the bachelor's level,English only,Yes,2
60-74,Female,Saskatchewan,Bachelor's degree,English only,No,1
18-29,Male,Ontario,Less than high school,English only,No,NA
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
60-74,Female,Saskatchewan,Degree above the bachelor's level,English only,Yes,3
75+,Male,Saskatchewan,Bachelor's degree,English only,Yes,2
75+,Female,Ontario,High school diploma or its equivalent,English only,No,1
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,9
45-59,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,1
60-74,Female,Ontario,University below the bachelor's level,English only,No,9
75+,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,5
45-59,Female,Alberta,High school diploma or its equivalent,English only,No,2
45-59,Female,Ontario,University below the bachelor's level,Neither English nor French,Yes,1
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
18-29,Male,Quebec,High school diploma or its equivalent,Both English and French,Yes,3
60-74,Male,Ontario,Degree above the bachelor's level,English only,Yes,1
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,1
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,9
60-74,Female,British Columbia,Bachelor's degree,English only,No,1
45-59,Male,Ontario,University below the bachelor's level,Both English and French,Yes,9
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,9
60-74,Female,Quebec,Less than high school,French only,Yes,2
30-44,Female,Alberta,Bachelor's degree,English only,No,2
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Male,Ontario,High school diploma or its equivalent,English only,Yes,2
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,2
60-74,Male,Quebec,High school diploma or its equivalent,French only,Yes,1
45-59,Female,Quebec,Less than high school,Neither English nor French,Yes,9
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
60-74,Male,Ontario,Degree above the bachelor's level,English only,Yes,2
60-74,Male,Ontario,Degree above the bachelor's level,English only,No,2
60-74,Male,Ontario,High school diploma or its equivalent,English only,Yes,3
60-74,Male,British Columbia,University below the bachelor's level,Both English and French,No,2
45-59,Female,Ontario,High school diploma or its equivalent,English only,Yes,1
60-74,Male,Ontario,Degree above the bachelor's level,Neither English nor French,Yes,9
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
60-74,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,9
30-44,Male,Ontario,Less than high school,English only,Yes,1
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
75+,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
75+,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
75+,Male,Manitoba,Bachelor's degree,Neither English nor French,No,3
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
60-74,Female,Quebec,Bachelor's degree,Neither English nor French,No,2
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
60-74,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
30-44,Female,Ontario,Bachelor's degree,English only,Yes,2
45-59,Male,Ontario,Degree above the bachelor's level,English only,Yes,3
60-74,Female,Quebec,Bachelor's degree,French only,Yes,4
60-74,Male,Quebec,University below the bachelor's level,French only,No,4
60-74,Male,British Columbia,Degree above the bachelor's level,English only,Yes,1
60-74,Female,British Columbia,High school diploma or its equivalent,English only,Yes,2
60-74,Male,Ontario,Degree above the bachelor's level,Both English and French,No,2
75+,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
60-74,Female,Quebec,University below the bachelor's level,French only,No,1
60-74,Male,British Columbia,University below the bachelor's level,English only,Yes,2
45-59,Male,Ontario,Bachelor's degree,English only,Yes,2
75+,Male,Ontario,Bachelor's degree,English only,Yes,2
75+,Female,Manitoba,Less than high school,English only,No,9
60-74,Female,Quebec,University below the bachelor's level,French only,Yes,4
45-59,Male,New Brunswick,High school diploma or its equivalent,English only,Yes,2
60-74,Female,Manitoba,High school diploma or its equivalent,English only,Yes,9
18-29,Male,British Columbia,University below the bachelor's level,French only,Yes,6
30-44,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,5
18-29,Female,Ontario,University below the bachelor's level,French only,No,1
75+,Female,Ontario,Degree above the bachelor's level,Both English and French,Yes,2
45-59,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,NA
45-59,Female,Quebec,High school diploma or its equivalent,French only,Yes,2
